N,seed,kclusters,nprobe,recall,qps,time_per_query
10,42,200,50,0.2380952380952381,3.735392,0.2677095201788728
10,42,200,100,0.2380952380952381,2.025216,0.4937744912147643
10,42,500,50,0.2380952380952381,6.740664,0.14835333729733452
10,42,500,100,0.2380952380952381,2.19912,0.45472734548364796
10,42,500,250,0.2380952380952381,1.367382,0.7313245311112768
10,42,1000,50,0.2380952380952381,4.712237,0.21221343493546696
10,42,1000,100,0.2380952380952381,2.525563,0.39595131857728355
10,42,1000,250,0.2380952380952381,1.324828,0.7548149646595634
10,42,1000,500,0.2380952380952381,1.334857,0.7491439157902308
10,42,5000,50,0.2380952380952381,7.471538,0.13384125196177815
10,42,5000,100,0.2380952380952381,2.486229,0.40221556421391597
10,42,5000,250,0.2380952380952381,1.898198,0.5268154323205482
10,42,5000,500,0.2380952380952381,1.350317,0.7405668446742506
10,42,5000,1500,0.2380952380952381,1.464412,0.6828679360726353
1,42,200,50,0.16666666666666666,4.178522,0.23931907023583937
1,42,200,100,0.16666666666666666,2.227339,0.4489662328006648
1,42,500,50,0.16666666666666666,5.310341,0.18831182404293811
1,42,500,100,0.16666666666666666,2.317132,0.43156799008429386
1,42,500,250,0.16666666666666666,1.977876,0.5055928683092368
1,42,1000,50,0.16666666666666666,3.984219,0.2509902191621495
1,42,1000,100,0.16666666666666666,2.489196,0.4017361429152224
1,42,1000,250,0.16666666666666666,1.381258,0.7239777072784375
1,42,1000,500,0.16666666666666666,1.766014,0.5662469266948054
1,42,5000,50,0.16666666666666666,6.968475,0.14350342076279243
1,42,5000,100,0.16666666666666666,2.755307,0.36293596321571425
1,42,5000,250,0.16666666666666666,1.519754,0.658001229146296
1,42,5000,500,0.16666666666666666,1.512684,0.6610766029124391
1,42,5000,1500,0.16666666666666666,1.62695,0.61464703893789
50,42,200,50,0.30226224880015035,5.336991,0.18737149828433286
50,42,200,100,0.3055955821334837,2.227523,0.44892914685953855
50,42,500,50,0.30226224880015035,4.821895,0.20738734460207037
50,42,500,100,0.3055955821334837,2.64341,0.37829924226661776
50,42,500,250,0.3055955821334837,1.888756,0.5294490130011499
50,42,1000,50,0.30226224880015035,4.780876,0.2091666882805578
50,42,1000,100,0.3055955821334837,1.888037,0.529650637143234
50,42,1000,250,0.3055955821334837,1.769095,0.5652607689242239
50,42,1000,500,0.3055955821334837,1.439415,0.6947266771570395
50,42,5000,50,0.30226224880015035,2.7925,0.35810205908683973
50,42,5000,100,0.3055955821334837,2.283054,0.4380097886427566
50,42,5000,250,0.3055955821334837,1.469396,0.680551736904143
50,42,5000,500,0.3055955821334837,1.872697,0.5339892144858458
50,42,5000,1500,0.3055955821334837,1.756687,0.5692533729685482
