T,m,imbalance,kahip_mode,layers,nodes,epochs,batch_size,lr,recall,qps
200,2000,0.1,0,3,256,5,512,0.001,0.20000000000000004,38.68571112
300,2000,0.1,0,3,256,5,512,0.001,0.20000000000000004,48.07980498
400,2000,0.1,0,3,256,5,512,0.001,0.20000000000000004,31.81340243
500,2000,0.1,0,3,256,5,512,0.001,0.20000000000000004,29.53323214
200,1000,0.1,0,3,256,5,512,0.001,0.20000000000000004,35.46528741
300,1000,0.1,0,3,256,5,512,0.001,0.20000000000000004,34.22901978
400,1000,0.1,0,3,256,5,512,0.001,0.20000000000000004,27.5655292
500,1000,0.1,0,3,256,5,512,0.001,0.20000000000000004,27.7375101
200,4000,0.1,0,3,256,5,512,0.001,0.20000000000000004,48.56108664
300,4000,0.1,0,3,256,5,512,0.001,0.20000000000000004,40.74920649
400,4000,0.1,0,3,256,5,512,0.001,0.20000000000000004,82.41754223
500,4000,0.1,0,3,256,5,512,0.001,0.20000000000000004,70.84672415
200,2000,0.05,0,3,256,5,512,0.001,0.16666666666666666,74.7403185
300,2000,0.05,0,3,256,5,512,0.001,0.20000000000000004,67.66702552
400,2000,0.05,0,3,256,5,512,0.001,0.20000000000000004,55.89806838
500,2000,0.05,0,3,256,5,512,0.001,0.20000000000000004,48.59260096
200,2000,0.2,0,3,256,5,512,0.001,0.16666666666666666,75.20127999
300,2000,0.2,0,3,256,5,512,0.001,0.20000000000000004,60.1687182
400,2000,0.2,0,3,256,5,512,0.001,0.20000000000000004,57.79580525
500,2000,0.2,0,3,256,5,512,0.001,0.20000000000000004,51.95784499
200,2000,0.1,0,2,256,5,512,0.001,0.20000000000000004,71.70624875
300,2000,0.1,0,2,256,5,512,0.001,0.20000000000000004,63.78485589
400,2000,0.1,0,2,256,5,512,0.001,0.20000000000000004,52.21707182
500,2000,0.1,0,2,256,5,512,0.001,0.20000000000000004,51.24600957
200,2000,0.1,0,4,256,5,512,0.001,0.20000000000000004,26.01911186
300,2000,0.1,0,4,256,5,512,0.001,0.20000000000000004,36.25577762
400,2000,0.1,0,4,256,5,512,0.001,0.20000000000000004,30.75173871
500,2000,0.1,0,4,256,5,512,0.001,0.20000000000000004,34.76954301
200,2000,0.1,0,3,128,5,512,0.001,0.20000000000000004,41.91156848
300,2000,0.1,0,3,128,5,512,0.001,0.20000000000000004,41.354769
400,2000,0.1,0,3,128,5,512,0.001,0.20000000000000004,36.98929926
500,2000,0.1,0,3,128,5,512,0.001,0.20000000000000004,30.50386281
200,2000,0.1,0,3,512,5,512,0.001,0.16666666666666666,27.47194659
300,2000,0.1,0,3,512,5,512,0.001,0.20000000000000004,26.77412957
400,2000,0.1,0,3,512,5,512,0.001,0.20000000000000004,33.63228822
500,2000,0.1,0,3,512,5,512,0.001,0.20000000000000004,36.28137154
200,2000,0.1,0,3,256,3,512,0.001,0.20000000000000004,42.62446837
300,2000,0.1,0,3,256,3,512,0.001,0.20000000000000004,41.67556672
400,2000,0.1,0,3,256,3,512,0.001,0.20000000000000004,39.25234039
500,2000,0.1,0,3,256,3,512,0.001,0.20000000000000004,27.2993827
200,2000,0.1,0,3,256,10,512,0.001,0.20000000000000004,48.96116685
300,2000,0.1,0,3,256,10,512,0.001,0.20000000000000004,40.66854658
400,2000,0.1,0,3,256,10,512,0.001,0.20000000000000004,37.47229135
500,2000,0.1,0,3,256,10,512,0.001,0.20000000000000004,22.75420513
